20932,Q,1
20933,G,1
20934,Z,1
20935,S,1
20936,J,1
20937,L,1
20938,Q,1
20939,D,1
20940,L,1
20941,D,1
20942,G,1
20943,J,1
20944,Y,1
20945,C,1
20946,A,1
20947,L,1
20948,C,1
20949,M,1
20950,Z,1
20951,C,1
20952,S,1
20953,D,1
20954,J,1
20955,L,1
20956,L,1
20957,N,1
20958,X,1
20959,D,1
20960,J,1
20961,F,1
20962,F,1
20963,F,1
20964,F,1
20965,J,1
20966,C,1
20967,Z,1
20968,F,1
20969,M,1
20970,Z,1
20971,F,1
20972,F,1
20973,P,1
20974,F,1
20975,K,1
20976,H,1
20977,K,1
20978,G,1
20979,D,1
20980,P,1
20981,Q,1
20982,X,1
20983,K,1
20984,T,1
20985,A,1
20986,C,1
20987,J,1
20988,D,1
20989,H,1
20990,H,1
20991,Z,1
20992,D,1
20993,D,1
20994,D,1
20995,R,1
20996,R,1
20997,C,1
20998,F,1
20999,Q,1
21000,Y,1
21001,J,1
21002,K,1
21003,Q,1
21004,C,1
21005,C,1
21006,W,1
21007,J,1
21008,D,1
21009,X,1
21010,H,1
21011,W,1
21012,J,1
21013,L,1
21014,Y,1
21015,L,1
21016,L,1
21017,Z,1
21018,G,1
21019,C,1
21020,F,1
21021,C,1
21022,Q,1
21023,D,1
21024,S,1
21025,M,1
21026,L,1
21027,Z,1
21028,P,1
21029,B,1
21030,J,1
21031,J,1
21032,P,1
21033,L,1
21034,S,1
21035,B,1
21036,C,1
21037,J,1
21038,G,1
21039,G,1
21040,D,1
21041,C,1
21042,K,1
21043,K,1
21044,D,1
21045,E,1
21046,Z,1
21047,S,1
21048,Q,1
21049,S,1
21050,C,1
21051,K,1
21052,J,1
21053,G,1
21054,C,1
21055,G,1
21056,K,1
21057,D,1
21058,J,1
21059,T,1
21060,J,1
21061,L,1
21062,L,1
21063,Z,1
21064,Y,1
21065,C,1
21066,X,1
21067,K,1
21068,L,1
21069,Q,1
21070,S,1
21071,C,1
21072,G,1
21073,J,1
21074,C,1
21075,L,1
21076,T,1
21077,F,1
21078,P,1
21079,C,1
21080,Q,1
21081,C,1
21082,Z,1
21083,G,1
21084,W,1
21085,B,1
21086,J,1
21087,D,1
21088,Q,1
21089,S,1
21090,D,1
21091,J,1
21092,J,1
21093,B,1
21094,Y,1
21095,J,1
21096,H,1
21097,S,1
21098,J,1
21099,D,1
21100,D,1
21101,W,1
21102,G,1
21103,F,1
21104,S,1
21105,J,1
21106,G,1
21107,D,1
21108,K,1
21109,C,1
21110,C,1
21111,C,1
21112,T,1
21113,L,1
21114,L,1
21115,P,1
21116,S,1
21117,P,1
21118,K,1
21119,J,1
21120,G,1
21121,Q,1
21122,J,1
21123,H,1
21124,Z,1
21125,Z,1
21126,L,1
21127,J,1
21128,P,1
21129,L,1
21130,G,1
21131,J,1
21132,G,1
21133,J,1
21134,J,1
21135,T,1
21136,H,1
21137,J,1
21138,J,1
21139,Y,1
21140,J,1
21141,Z,1
21142,C,1
21143,J,1
21144,M,1
21145,L,1
21146,Z,1
21147,L,1
21148,Y,1
21149,Q,1
21150,B,1
21151,G,1
21152,J,1
21153,W,1
21154,M,1
21155,L,1
21156,J,1
21157,K,1
21158,X,1
21159,Z,1
21160,D,1
21161,Z,1
21162,N,1
21163,J,1
21164,Q,1
